timestamp,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-12-05 00:00:00,17106.65,17113.54,17076.85,17099.96,2306.36279,1670199299999.0,39424055.3926916,52903.0,1090.42484,18640129.4338517,0.0
2022-12-05 00:15:00,17099.96,17125.81,17080.21,17125.28,2060.92165,1670200199999.0,35241551.2486097,46854.0,991.39742,16953276.027703,0.0
2022-12-05 00:30:00,17124.64,17257.78,17120.66,17250.58,7160.90197,1670201099999.0,123143599.7460929,136814.0,3692.93167,63500751.3987552,0.0
2022-12-05 00:45:00,17250.58,17268.38,17198.19,17216.15,3582.45897,1670201999999.0,61722774.2172599,81993.0,1786.31163,30778135.3003226,0.0
2022-12-05 01:00:00,17216.15,17221.5,17196.19,17216.55,2039.45961,1670202899999.0,35093473.5238935,48739.0,996.55809,17148800.287877,0.0
2022-12-05 01:15:00,17216.55,17222.18,17200.45,17208.29,1552.01974,1670203799999.0,26713002.866993,37874.0,730.95725,12581217.9632857,0.0
2022-12-05 01:30:00,17208.29,17249.0,17207.44,17236.78,2586.17599,1670204699999.0,44573207.3161611,56714.0,1307.22773,22529885.8085006,0.0
2022-12-05 01:45:00,17236.78,17300.0,17217.46,17268.49,4332.08973,1670205599999.0,74779697.5842413,80648.0,2200.4927,37986703.5754135,0.0
2022-12-05 02:00:00,17269.05,17298.5,17263.29,17267.1,2634.01428,1670206499999.0,45500916.5161283,64624.0,1256.41579,21704553.7353728,0.0
2022-12-05 02:15:00,17267.1,17278.85,17238.34,17259.69,2638.99583,1670207399999.0,45538722.819046,59228.0,1345.49679,23218667.4848579,0.0
2022-12-05 02:30:00,17259.67,17273.28,17244.49,17265.01,1993.44276,1670208299999.0,34400233.1163501,47524.0,996.10537,17189982.6030634,0.0
2022-12-05 02:45:00,17264.64,17349.99,17234.04,17245.12,5094.52459,1670209199999.0,88097752.6546143,93501.0,2518.7569,43560001.3388809,0.0
2022-12-05 03:00:00,17245.12,17274.02,17233.03,17259.2,2594.11748,1670210099999.0,44759824.2809012,58863.0,1250.24028,21572703.9702974,0.0
